Designator,Mid X,Mid Y,Rotation,Layer
D0,42.16875,-38.57625,90.0,bottom
D1,65.98125,-38.25875,90.0,bottom
D10,237.43125,-38.25875,90.0,bottom
D11,256.48125,-38.25875,90.0,bottom
D12,275.53125,-38.25875,90.0,bottom
D13,299.34375,-38.25875,90.0,bottom
D14,318.39375,-38.25875,90.0,bottom
D15,342.20625,-38.25875,90.0,bottom
D16,44.54995,-62.07125,90.0,bottom
D17,65.98125,-62.07125,90.0,bottom
D18,85.03125,-62.07125,90.0,bottom
D19,104.08125,-62.38875,90.0,bottom
D2,85.03125,-38.25875,90.0,bottom
D20,123.13125,-62.38875,90.0,bottom
D21,142.18125,-62.07125,90.0,bottom
D22,161.23125,-62.38875,90.0,bottom
D23,180.28125,-62.38875,90.0,bottom
D24,199.33125,-62.38875,90.0,bottom
D25,218.38125,-62.38875,90.0,bottom
D26,237.43125,-62.38875,90.0,bottom
D27,256.48125,-62.38875,90.0,bottom
D28,275.53125,-62.38875,90.0,bottom
D29,301.72495,-62.38875,90.0,bottom
D3,104.08125,-38.25875,90.0,bottom
D30,342.20625,-62.38875,90.0,bottom
D31,44.54995,-81.43875,90.0,bottom
D32,65.98125,-81.43875,90.0,bottom
D33,85.03125,-81.43875,90.0,bottom
D34,104.08125,-81.12125,90.0,bottom
D35,123.13125,-81.12125,90.0,bottom
D36,142.18125,-81.12125,90.0,bottom
D37,161.23125,-81.12125,90.0,bottom
D38,180.28125,-81.12125,90.0,bottom
D39,199.33125,-81.12125,90.0,bottom
D4,123.13125,-38.25875,90.0,bottom
D40,218.38125,-81.12125,90.0,bottom
D41,237.43125,-81.12125,90.0,bottom
D42,256.48125,-81.12125,90.0,bottom
D43,275.53125,-81.12125,90.0,bottom
D44,301.72495,-81.12125,90.0,bottom
D45,342.20625,-81.12125,90.0,bottom
D46,44.54995,-100.17125,90.0,bottom
D47,65.98125,-100.17125,90.0,bottom
D48,85.03125,-100.17125,90.0,bottom
D49,104.08125,-100.17125,90.0,bottom
D5,142.18125,-38.25875,90.0,bottom
D50,123.13125,-100.17125,90.0,bottom
D51,142.18125,-100.17125,90.0,bottom
D52,161.23125,-100.17125,90.0,bottom
D53,180.28125,-100.17125,90.0,bottom
D54,199.33125,-100.17125,90.0,bottom
D55,218.38125,-100.17125,90.0,bottom
D56,237.43125,-100.17125,90.0,bottom
D57,256.48125,-100.17125,90.0,bottom
D58,275.53125,-100.17125,90.0,bottom
D59,301.72495,-100.17125,90.0,bottom
D6,161.23125,-38.25875,90.0,bottom
D60,342.20625,-100.17125,90.0,bottom
D61,44.54995,-119.53875,90.0,bottom
D62,65.98125,-119.22125,90.0,bottom
D63,85.03125,-119.53875,90.0,bottom
D64,104.08125,-119.22125,90.0,bottom
D65,123.13125,-119.22125,90.0,bottom
D66,142.18125,-119.22125,90.0,bottom
D67,161.23125,-119.22125,90.0,bottom
D68,180.28125,-119.22125,90.0,bottom
