Designator,Mid X,Mid Y,Rotation,Layer
_2,28.54,-49.4,0.0,top
,28.54,-51.65,0.0,top
D1,44.81,-36.37,90.0,bottom
D10,63.96,-79.23,90.0,bottom
D11,82.96,-79.24,90.0,bottom
D12,102.06,-88.79,90.0,bottom
D13,44.91,-98.28,90.0,bottom
D14,63.96,-98.28,90.0,bottom
D15,83.01,-98.28,90.0,bottom
D16,44.91,-117.33,90.0,bottom
D17,63.96,-117.33,90.0,bottom
D18,83.01,-117.51,90.0,bottom
D19,102.035,-126.83,90.0,bottom
D2,63.81,-36.37,90.0,bottom
D20,54.435,-136.38,90.0,bottom
D21,83.01,-136.38,90.0,bottom
D3,82.81,-36.37,90.0,bottom
D4,101.81,-36.37,90.0,bottom
D5,44.885,-60.26,90.0,bottom
D6,63.885,-60.26,90.0,bottom
D7,82.885,-60.18,90.0,bottom
D8,102.06,-60.18,90.0,bottom
D9,44.91,-79.23,90.0,bottom
S1,36.335,-38.6425,0.0,top
S10,55.385,-81.505,0.0,top
S11,74.435,-81.505,0.0,top
S12,93.485,-91.03,0.0,top
S13,36.335,-100.555,0.0,top
S14,55.385,-100.555,0.0,top
S15,74.435,-100.555,0.0,top
S16,36.335,-119.605,0.0,top
S17,55.385,-119.605,0.0,top
S18,74.435,-119.605,0.0,top
S19,93.485,-129.13,0.0,top
S2,55.385,-38.6425,0.0,top
S20,45.86,-138.655,0.0,top
S21,74.435,-138.655,0.0,top
S3,74.435,-38.6425,0.0,top
S4,93.485,-38.6425,0.0,top
S5,36.335,-62.455,0.0,top
S6,55.385,-62.455,0.0,top
S7,74.435,-62.455,0.0,top
S8,93.485,-62.455,0.0,top
S9,36.335,-81.505,0.0,top
U2,95.31,-110.08,0.0,bottom
