Designator,Mid X,Mid Y,Rotation,Layer
D0,152.89125,-164.375,0.0,top
D1,152.89125,-167.925,0.0,top
D10,152.89125,-199.875,0.0,top
D11,152.89125,-203.425,0.0,top
D12,152.89125,-206.975,0.0,top
D13,152.89125,-210.525,0.0,top
D14,152.89125,-214.075,0.0,top
D15,152.89125,-217.625,0.0,top
D16,152.89125,-221.175,0.0,top
D17,152.89125,-224.725,0.0,top
D18,163.66125,-164.375,0.0,top
D19,163.66125,-167.925,0.0,top
D2,152.89125,-171.475,0.0,top
D20,163.66125,-171.475,0.0,top
D21,163.66125,-175.025,0.0,top
D22,163.66125,-178.575,0.0,top
D23,163.66125,-182.125,0.0,top
D24,163.66125,-185.675,0.0,top
D25,163.66125,-189.225,0.0,top
D26,163.66125,-192.775,0.0,top
D27,163.66125,-196.325,0.0,top
D28,163.66125,-199.875,0.0,top
D29,163.66125,-203.425,0.0,top
D3,152.89125,-175.025,0.0,top
D30,163.66125,-206.975,0.0,top
D31,163.66125,-210.525,0.0,top
D32,163.66125,-214.075,0.0,top
D33,163.66125,-217.625,0.0,top
D34,163.66125,-221.175,0.0,top
D35,163.66125,-224.725,0.0,top
D36,174.43125,-164.375,0.0,top
D37,174.43125,-167.925,0.0,top
D38,174.43125,-171.475,0.0,top
D39,174.43125,-175.025,0.0,top
D4,152.89125,-178.575,0.0,top
D40,174.43125,-178.575,0.0,top
D41,174.43125,-182.125,0.0,top
D42,174.43125,-185.675,0.0,top
D43,174.43125,-189.225,0.0,top
D44,174.43125,-192.775,0.0,top
D45,174.43125,-196.325,0.0,top
D46,174.43125,-199.875,0.0,top
D47,174.43125,-203.425,0.0,top
D48,174.43125,-206.975,0.0,top
D49,174.43125,-210.525,0.0,top
D5,152.89125,-182.125,0.0,top
D50,174.43125,-214.075,0.0,top
D51,174.43125,-217.625,0.0,top
D52,174.43125,-221.175,0.0,top
D53,174.43125,-224.725,0.0,top
D54,185.20125,-164.375,0.0,top
D55,185.20125,-167.925,0.0,top
